"","Milk_drinks","Milk_desserts","Cheese","Poultry","Fish_shellfish","Meat","Cured_meat","Eggs","Legumes_nuts_seeds","Breads_refined","Breads_whole","Cakes_cookies","Pancakes_other","Savory_pies","Sandwiches","Patties_loaves","Pasta_based","Tortilla_based","Mayonnaise_salads","Pastas_rice","Crackers_salty_snacks","Breakfast_cereals_high_sugar","Breakfast_cereals_low_sugar","Fruit_juice","Whole_fruits","Potatoes","Potatoes_fried","DG_vegetables","RO_vegetables","Other_vegetables","Solid_fats","Oils","Sauces","Soups","Sugars_sweets","Coffee_tea","Sugar_sweetened_drinks","Water"
"Milk_drinks",0,0,-0.237915892197625,0,0,0,-0.186399234144576,-0.237495312058839,0,-0.22209772239218,0,0,0,0,0,0,0,0,0,0,0,0.414678249489215,0.37632977551792,-0.249196443226022,0,0,-0.20209197015253,0,0,0,-0.259915099402318,0,0,0,0,0,-0.195837459690654,0
"Milk_desserts",0,0,0,0,0,0.171254682577733,0,0,0,0,0,0,0,0,0,0.594364579840714,0,0,0,0,0.241411200344808,0,0,0,0,0,0,0,0.252737752100477,0.246196859688442,0,0,0.232590618463775,0,0,0,0,0
"Cheese",-0.237915892197625,0,0,0,0,0.359712384169766,0.245559796069911,0.445311461640543,0,0.397894266619528,0,0,0,0,0,0,0,0,0,0,0,0,-0.191243225979475,0,0,0,0,0,0.185584023584394,0.198444102247991,0.251974919956073,0,0.171372445453272,0,0,0,0,0
"Poultry",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20739208685113,0,0.298634281350042,0,0,0,0,0,0,0,0,0.291490026247785,0,0,0,0,0.41082187474868,0,0,0,0,0
"Fish_shellfish",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.272945562853925,0,0,0,0,0,0.258166578139891,0,0,0.337139345619454,0,0,0,0,0,0,0,0,0
"Meat",0,0.171254682577733,0.359712384169766,0,0,0,0,0.354115210554753,0,0.247759416792731,0,0,0.192870012136696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.187247459948521,0,0.231641091874545,0,0,0,0,0,0.196019487228674,0
"Cured_meat",-0.186399234144576,0,0.245559796069911,0,0,0,0,0.259273617356675,0,0.238681980337611,0,0,0,0,0,0,0,0,0,0,0,0,0,0.168612459617831,0,0,0,0,0,0,0.220331683616093,0,0,0,0,0,0,0
"Eggs",-0.237495312058839,0,0.445311461640543,0,0,0.354115210554753,0.259273617356675,0,0,0,0.182865528959403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.292306665342488,0.406593923239097,0,0,0,0,0,0,0
"Legumes_nuts_seeds",0,0,0,0,0,0,0,0,0,0,0.197228121405319,0,0,0,0,0,0,0,0,0.170043594562132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Breads_refined",-0.22209772239218,0,0.397894266619528,0,0,0.247759416792731,0.238681980337611,0,0,0,-0.180597090033557,0,0,0,0,0,0,0,0,0,0,-0.195070492285859,-0.211917349736803,0,0,0,0,0,0,0,0.248836293005532,0,0,0,0,0,0,0
"Breads_whole",0,0,0,0,0,0,0,0.182865528959403,0.197228121405319,-0.180597090033557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206549779659371,0,0,0,0,0,0,0
"Cakes_cookies",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18842211079122,0,0,0.182457380490675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pancakes_other",0,0,0,0,0,0.192870012136696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.290713088011883,0,0,0,0.500373817400275,0,0,0
"Savory_pies",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.197088870046177,0,0,0,0,0,0,0,0,0,0
"Sandwiches",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.232080769862435,0,0,0,0,0,0,0,0,0,0,0.434008564382969,0,0,0,0,0,0.201077381697343,0,0,0,0,0
"Patties_loaves",0,0.594364579840714,0,0,0,0,0,0,0,0,0,0.18842211079122,0,0,0.232080769862435,0,0,0,0,0,0,0,0,0,0,0,0,0,0.228855328868713,0.211297583586615,0,0,0.209033610362734,0,0,0,0,0
"Pasta_based",0,0,0,0.20739208685113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.242771137192219,0,0,0,0,0,0,0,0,0,0
"Tortilla_based",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.592230076809276,0,0,0,0,0,0,0,0,0,0,0,0,0.342199337107399,0,0,0,0,0,0
"Mayonnaise_salads",0,0,0,0.298634281350042,0,0,0,0,0,0,0,0.182457380490675,0,0,0,0,0,0.592230076809276,0,0,0,0,0,0,0,0,0.21520027506244,0.347290182163461,0,0.225493006574644,0,0.594364579840714,0,0,0,0,0,0
"Pastas_rice",0,0,0,0,0.272945562853925,0,0,0,0.170043594562132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21001137117865,0,0,0,0,0,0,0,0,0,0,0,0,0
"Crackers_salty_snacks",0,0.241411200344808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Breakfast_cereals_high_sugar",0.414678249489215,0,0,0,0,0,0,0,0,-0.195070492285859,0,0,0,0,0,0,0,0,0,0,0,0,-0.166710354228485,0,0,0,0,0,0,0,-0.219772556819893,0,0,0,0,0,0,0
"Breakfast_cereals_low_sugar",0.37632977551792,0,-0.191243225979475,0,0,0,0,0,0,-0.211917349736803,0,0,0,0,0,0,0,0,0,0,0,-0.166710354228485,0,0,0,0,0,0,0,0,-0.219771688197215,0,0,0,-0.173369843242068,0,0,0
"Fruit_juice",-0.249196443226022,0,0,0,0,0,0.168612459617831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.211875807707559,0,0,0,0,0,0,0
"Whole_fruits",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21001137117865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167072838397987
"Potatoes",0,0,0,0,0.258166578139891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.204732524255422,0,0,0.20016590432992,0,0,0,0,0
"Potatoes_fried",-0.20209197015253,0,0,0,0,0,0,0,0,0,0,0,0,0,0.434008564382969,0,0,0,0.21520027506244,0,0,0,0,0,0,0,0,0,0,0,0,0,0.283011997976834,0,0,0,0,0
"DG_vegetables",0,0,0,0.291490026247785,0,0,0,0,0,0,0,0,0,0.197088870046177,0,0,0.242771137192219,0,0.347290182163461,0,0,0,0,0,0,0,0,0,0.434395678923904,0.349833943682736,0,0,0.409253565179748,0,0,0,0,0.196425979166867
"RO_vegetables",0,0.252737752100477,0.185584023584394,0,0.337139345619454,0.187247459948521,0,0,0,0,0,0,0,0,0,0.228855328868713,0,0,0,0,0,0,0,0,0,0,0,0.434395678923904,0,0.557089777482142,0,0.252974208588608,0.334383576728261,0,0,0,0,0
"Other_vegetables",0,0.246196859688442,0.198444102247991,0,0,0,0,0.292306665342488,0,0,0,0,0,0,0,0.211297583586615,0,0,0.225493006574644,0,0,0,0,0,0,0.204732524255422,0,0.349833943682736,0.557089777482142,0,0,0,0.416292572614389,0,0,0,0,0
"Solid_fats",-0.259915099402318,0,0.251974919956073,0,0,0.231641091874545,0.220331683616093,0.406593923239097,0,0.248836293005532,0.206549779659371,0,0.290713088011883,0,0,0,0,0,0,0,0,-0.219772556819893,-0.219771688197215,0.211875807707559,0,0,0,0,0,0,0,0,0,0,0.240874345224077,0,0,0
"Oils",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.342199337107399,0.594364579840714,0,0,0,0,0,0,0,0,0,0.252974208588608,0,0,0,0,0,0,0,0,0
"Sauces",0,0.232590618463775,0.171372445453272,0.41082187474868,0,0,0,0,0,0,0,0,0,0,0.201077381697343,0.209033610362734,0,0,0,0,0,0,0,0,0,0.20016590432992,0.283011997976834,0.409253565179748,0.334383576728261,0.416292572614389,0,0,0,0,0,0,0,0
"Soups",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sugars_sweets",0,0,0,0,0,0,0,0,0,0,0,0,0.500373817400275,0,0,0,0,0,0,0,0,0,-0.173369843242068,0,0,0,0,0,0,0,0.240874345224077,0,0,0,0,0.162354638047609,0,0
"Coffee_tea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.162354638047609,0,0,0
"Sugar_sweetened_drinks",-0.195837459690654,0,0,0,0,0.196019487228674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Water",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167072838397987,0,0,0.196425979166867,0,0,0,0,0,0,0,0,0,0
